Lp.;nazwa JST;wojewodztwo;powiat;typ JST*;nazwa urzędu JST;siedziba urzędu;;;;;nr telefonu;;;nr faksu;;dane wójta/burmistrza/prezydenta/starosty;;;adres mail'owy sekretarza gminy/powiatu;ogólny adres mail'owy gminy/powiatu;adres www jednostki
156;Wieliczka;małopolskie;wielicki;GMW;Urząd Miasta i Gminy Wieliczka;Wieliczka;32-020;Wieliczka;ul. Powstania Warszawskiego;1;(12);278-12-94;;(12);278-68-60;Burmistrz;Artur;Kozioł;sekretarz@wieliczka.eu;magistrat@wieliczka.eu;www.wieliczka.eu
Województwo mazowieckie;;;;;;;;;;;;;;;;;;;;;
157;Przysucha;mazowieckie;przysuski;GMW;Urząd Miasta i Gminy Przysucha;Przysucha;26-400;Przysucha;Plac Kolberga;11;(48);675-22-19;;(48);675-21-06;Burmistrz;Tadeusz;Tomasik;sekretariat@przysucha.umig.gov.pl;sekretariat@przysucha.umig.gov.pl;www.przysucha.umig.gov.pl
158;Białobrzegi;mazowieckie;białobrzeski;GMW;Urząd Miasta i Gminy Białobrzegi; Białobrzegi;26-800; Białobrzegi;Pl. Zygmunta Starego;9;(48);613-25-72;;(48);613-25-72;Burmistrz;Wiesław;Banachowicz;bialobrzegi@bialobrzegi.pl;bialobrzegi@bialobrzegi.pl;www.bialobrzegi.pl
159;Wyśmierzyce;mazowieckie;białobrzeski;GMW;Urząd Miejski w Wyśmierzycach;Wyśmierzyce;26-811;Wyśmierzyce;ul. A. Mickiewicza;75;(48);615-70-03;14;(48);615-70-03;Burmistrz;Władysław;Jasiński;umwysmierzyce@op.pl;umwysmierzyce@op.pl;www.wysmierzyce.pl
160;Glinojeck;mazowieckie;ciechanowski;GMW;Urząd Gminy Glinojeck;Glinojeck;06-450;Glinojeck;ul. Płocka;12;(23);674-00-17;;(23);674-28-18;Burmistrz;Waldemar Jerzy;Godlewski;biuro@bazagmin.pl;biuro@bazagmin.pl;www.glinojeck.pl
161;Pilawa;mazowieckie;garwoliński;GMW;Urząd Miasta i Gminy Pilawa;Pilawa;08-440;Pilawa;Al. Wyzwolenia;158;(25);685-61-10;;(25);685-60-83;Burmistrz;Albina;Łubian;urzad@pilawa.com.pl;urzad@pilawa.com.pl;www.pilawa.com.pl
162;Żelechów;mazowieckie;garwoliński;GMW;Urząd Miasta w Żelichowie; Żelechów;08-430; Żelechów;ul. Piłsudskiego;47;(25);754-11-44;;(25);754-11-44;Burmistrz;Mirosława;Miszkurka;zelechow@interia.pl;zelechow@interia.pl;www.zelechow.pl
163;Grodzisk Mazowiecki;mazowieckie;grodziski;GMW;Urząd Miejski w Grodzisku Mazowieckim;Grodzisk Mazowiecki;05-825;Grodzisk Mazowiecki;ul. T. Kościuszki;32A;(22);755-51-46;;(22);755-53-27;Burmistrz;Grzegorz;Benedykciński;jan.pazio@grodzisk.pl;urzad@grodzisk.pl;www.grodzisk.pl
164;Grójec;mazowieckie;grójecki;GMW;Urząd Gminy i Miasta w Grójcu; Grójec;05-600; Grójec;ul. Józefa Piłsudskiego;47;(48);664-23-01;;(48);664-21-03;Burmistrz;Jacek;Stolarski;urzad@grojecmiasto.pl;urzad@grojecmiasto.pl;www.grojecmiasto.pl
165;Mogielnica;mazowieckie;grójecki;GMW;Urząd Miasta i Gminy w Mogielnicy;Mogielnica;05-640;Mogielnica;ul. Plac Rynek;1;(48);663-51-49;;(48);663-51-49;Burmistrz;Sławomir;Chmielewski;gmina@mogielnica.pl;gmina@mogielnica.pl;www.mogielnica.pl
166;Nowe Miasto nad Pilicą;mazowieckie;grójecki;GMW;Urząd Miasta i Gminy;Nowe Miasto nad Pilicą;05-645;Nowe Miasto nad Pilicą;Pl. O. H. Koźmińskiego;1/2;(48);674-10-98;;(48);674-11-79;Burmistrz;Barbara;Gąsiorowska;nowemiasto@nowemiasto.pl;nowemiasto@nowemiasto.pl;www.nowemiasto.pl
167;Warka;mazowieckie;grójecki;GMW;Urząd Miejski w Warce;Warka;05-660;Warka;Plac Stefana Czarnieckiego;1;(48);665-12-50;;(48);665-12-25;Burmistrz;Dariusz;Gizka;um@warka.org.pl;um@warka.org.pl;www.warka.org.pl
168;Kozienice;mazowieckie;kozienicki;GMW;Urząd Miejski Kozienice;Kozienice;26-900;Kozienice;ul. Parkowa;5;(48);611-71-02;;(48);614-20-48;Burmistrz;Tomasz;Śmietanka;urzad@kozienice.pl;urzad@kozienice.pl;www.kozienice.pl
169;Serock;mazowieckie;legionowski;GMW;Urząd Miasta i Gminy w Serocku;Serock;05-140;Serock;ul. Rynek;21;(22);782-88-00;801;(22);782-74-99;Burmistrz;Sylwester;Sokolnicki;umg@serock.pl;umg@serock.pl;www.serock.pl
170;Lipsko;mazowieckie;lipski;GMW;Urząd Miasta i Gminy; Lipsko;27-300; Lipsko;ul. 1 Maja;2;(48);378-00-48;11;(48);378-01-75;Burmistrz;Jerzy;Pasek;sekretarz@lipsko.eu;umig@lipsko.eu;www.lipsko.eu
171;Łosice;mazowieckie;łosicki;GMW;Urząd Miasta i Gminy w Łosicach;Łosice;08-200;Łosice;ul. Piłsudskiego;6;(83);357-35-42;20;(83);357-27-01;Burmistrz;Janusz;Kobyliński;UMIGLOSICE@PRO.ONET.PL;UMIGLOSICE@PRO.ONET.PL;www.losiceonline.republika.pl
172;Różan;mazowieckie;makowski;GMW;Urząd Gminy w Różanie;Różan;06-230;Różan;Plac Obrońców Różana;4;(29);767-91-20;;(29);767-91-21;Burmistrz;Piotr;Świderski;b.gawianowska@rozan.eur.pl;ugrozan@post.pl;www.rozan.eur.pl
173;Halinów;mazowieckie;miński;GMW;Urząd Miejski w Halinowie;Halinów;05-074;Halinów;ul. Spółdzielcza;1;(22);783-60-20;;(22);783-61-07;Burmistrz;Adam;Ciszkowski;halinow@halinow.pl;halinow@halinow.pl;www.halinow.pl
174;Kałuszyn;mazowieckie;miński;GMW;Urząd Miejski w Kałuszynie;Kałuszyn;05-310;Kałuszyn;ul. Pocztowa;1;(25);757-66-18;;(25);757-60-26;Burmistrz;Marian;Soszyński;sekretarz@kaluszyn.pl;umkaluszyn@kaluszyn.pl;www.kaluszyn.pl
175;Nasielsk;mazowieckie;nowodworski;GMW;Urząd Miejski;Nasielsk;05-190;Nasielsk;ul. Elektronowa;3;(23);693-30-00;;(23);691-24-70;Burmistrz;Grzegorz;Arciszewski;um@nasielsk.pl;um@nasielsk.pl;www.nasielsk.pl
176;Zakroczym;mazowieckie;nowodworski;GMW;Urząd Gminy Zakroczym;Zakroczym;05-170;Zakroczym;ul. Warszawska;7;(22);785-21-45;;(22);785-26-22;Burmistrz;Henryk;Ruszczyk;urzad@zakroczym.pl;urzad@zakroczym.pl;www.zakroczym.pl
177;Myszyniec;mazowieckie;ostrołęcki;GMW;Urząd Miejski w Myszńcu;Myszyniec;07-430;Myszyniec;Plac Wolności;60;(29);772-14-41;;(29);772-14-41;Burmistrz;Bogdan;Glinka;urzad@myszyniec.nowoczesnagmina.pl;urzad@myszyniec.nowoczesnagmina.pl;http://www.myszyniec.pl/
178;Brok;mazowieckie;ostrowski;GMW;Urząd Gminy w Broku;Brok;07-306;Brok;Pl. Kościelny;6;(29);745-75-54;;(29);745-75-54;Burmistrz;Marek;Młyński;sekretarz@brok.pl;sekretariat@brok.pl;www.brok.pl
179;Karczew;mazowieckie;otwocki;GMW;Urząd Miejski w Karczewie; Karczew;05-480; Karczew;ul. Warszawska;28;(22);780-60-83;;(22);780-65-36;Burmistrz;Władysław Dariusz;Łokietek;sekretarz@karczew.pl;um@karczew.pl;www.karczew.pl
180;Góra Kalwaria;mazowieckie;piaseczyński;GMW;Urząd Miasta i Gminy Góra Kalwaria;Góra Kalwaria;05-530;Góra Kalwaria;ul. 3 Maja;10;(22);727-35-93;;(22);727-15-93;Burmistrz;Dariusz;Zieliński;sekretarz@gorakalwaria.pl;umig@gorakalwaria.pl;www.gorakalwaria.pl
181;Konstancin-Jeziorna;mazowieckie;piaseczyński;GMW;Urząd Miasta i Gminy Konstancin- Jeziorna;Konstancin-Jeziorna;05-520;Konstancin - Jeziorna;ul. Warszawska;32;(22);754-41-74;;(22);756-48-85;Burmistrz;Kazimierz;Jańczuk;urzad@konstancinjeziorna.pl;urzad@konstancinjeziorna.pl;www.konstancinjeziorna.pl
182;Piaseczno;mazowieckie;piaseczyński;GMW;Urząd Miasta i Gminy Piaseczno;Piaseczno;05-500;Piaseczno;ul. Kościuszki;5;(22);701-75-88;;(22);756-70-49;Burmistrz;Zdzisław;Lis;sekretarz@piaseczno.eu;urzd@piaseczno.eu;www.piaseczno.eu
183;Tarczyn;mazowieckie;piaseczyński;GMW;Urząd Miejski w Tarczynie;Tarczyn;05-555;Tarczyn;ul. Rynek;8A;(22);715-79-00;;(22);727-81-91;Burmistrz;Barbara ;Galicz;tarczyn@tarczyn.pl;tarczyn@tarczyn.pl;www.tarczyn.pl
184;Drobin;mazowieckie;płocki;GMW;Urząd Miasta i Gminy w Drobinie;Drobin;09-210;Drobin;ul. Marszałka Piłsudskiego;12;(24);260-14-41;105;(24);260-10-62;Burmistrz;Sławomir;Wiśniewski;umgdrobin@plo.pl;umgdrobin@plo.pl;http://www.drobin.pl/
185;Gąbin;mazowieckie;płocki;GMW;Urząd Miasta i Gminy w Gąbinie;Gąbin;09-530;Gąbin;ul. Stary Rynek;16;(24);267-41-50;;(24);277-12-56;Burmistrz;Krzysztof;Jadczak;urzad-sekretariat@gabin.pl;urzad-sekretariat@gabin.pl;www.gabin.pl
186;Wyszogród;mazowieckie;płocki;GMW;Urząd Miasta i Gminy w Wyszogrodzie;Wyszogród;09-450;Wyszogród;ul. Rębowska;37;(24);231-10-20;;(24);231-10-24;Burmistrz;Mariusz;Bieniek;ugim@wyszogrod.bip.pl;ugim@wyszogrod.bip.pl;www.wyszogrod.pl
187;Brwinów;mazowieckie;pruszkowski;GMW;Urząd Gminy Brwinów;Brwinów;06-100;Brwinów;ul. Grodziska;12;(22);729-59-06;;(22);729-56-64;Burmistrz;Arkadiusz;Kosiński;brwinow@brwinow.pl;brwinow@brwinow.pl;www.brwinow.pl
188;Chorzele;mazowieckie;przasnyski;GMW;Urząd Miasta i Gminy w Chorzelach;Chorzele;06-330;Chorzele;ul. Ogrodowa;7;(29);751-65-31;;(29);751-56-86;Burmistrz;Beata;Szczepankowska;ugchorz@poczta.com.pl;ugchorz@poczta.com.pl;www.gminachorzele.pl
189;Pułtusk;mazowieckie;pułtuski;GMW;Urząd Miejski w Pułtusku;Pułtusk;06-100;Pułtusk;ul. Rynek;41;(23);692-03-91;;(23);692-42-96;Burmistrz;Wojciech;Dębski;um@pultusk.pl;um@pultusk.pl;www.pultusk.pl
190;Iłża;mazowieckie;radomski;GMW;Urząd Miejski w Iłzy;Iłża;27-100;Iłża;ul. Rynek;11;(48);341-22-06;;(48);616-33-00;Burmistrz;Andrzej;Moskwa;sekretarz@ilza.pl;ilza@ilza.pl;www.ilza.pl
191;Skaryszew;mazowieckie;radomski;GMW;Urząd Miasta i Gminy w Skaryszewie;Skaryszew;26-640;Skaryszew;ul. Słowackiego;6;(48);610-31-19;;(48);610-30-89;Burmistrz;Ireneusz;Kumięga;i.kilianek@skaryszew.pl;urzad@skaryszew.pl;http://www.skaryszew.pl/index.php?option=18&action=articles_show&art_id=220
192;Mordy;mazowieckie;siedlecki;GMW;Urząd Miasta i Gminy w Mordach;Mordy;08-140;Mordy;ul. Kilińskiego;9;(25);641-54-02;;(25);641-51-15;Burmistrz;Jerzy;Wąsowski;ug_mordy@pro.onet.pl;ug_mordy@pro.onet.pl;http://umigmordy.bip.org.pl/
193;Kosów Lacki;mazowieckie;sokołowski;GMW;Urząd Miasta i Gminy w Kosowie Lackim;Kosów Lacki;08-330;Kosów Lacki;ul. Kolejowa;1;(25);787-91-05;;(25);787-90-38;Burmistrz;Jan;Słomiak;samorzad@kosowlacki.pl;samorzad@kosowlacki.pl;www.kosowlacki.pl
194;Szydłowiec;mazowieckie;szydłowiecki;GMW;Urząd Miejski w Szydłowcu;Szydłowiec;26-500;Szydłowiec;ul. Rynek Wielki;1;(48);617-86-30;;(48);617-05-10;Burmistrz;Andrzej;Jarzyński;urzad@szydlowiec.pl;urzad@szydlowiec.pl;www.szydlowiec.pl
195;Błonie;mazowieckie;warszawski zachodni;GMW;Urząd Miejski w Błoniu;Błonie;05-870;Błonie;ul. Rynek;6;(22);725-45-55;;(22);725-30-67;Burmistrz;Zenon;Reszka;przemyslaw.kubicki@um.blonie.pl;ratusz@um.blonie.pl;www.um.blonie.pl
196;Łomianki;mazowieckie;warszawski zachodni;GMW;Urząd Miasta i Gminy Łomianki;Łomianki;05-092;Łomianki;ul. Warszawska;115;(22);768-63-00;;(22);768-63-02;Burmistrz;Tomasz;Dąbrowski;umig@lomianki.pl;umig@lomianki.pl;www.lomianki.pl
197;Ożarów Mazowiecki;mazowieckie;warszawski zachodni;GMW;Urząd Miasta i Gminy;Ożarów Mazowiecki;05-850;Ożarów Mazowiecki;ul. Kolejowa;2;(22);722-12-11;;(22);722-18-87;Burmistrz;Paweł;Kanclerz;sekretarz@ozarow-mazowiecki.pl;umig@ozarow-mazowiecki.pl;www.ozarow-mazowiecki.pl
198;Łochów;mazowieckie;węgrowski;GMW;Urząd Miasta i Gminy Łochów; Łochów;07-130; Łochów;Al. Pokoju;75;(25);675-12-42;;(25);675-12-35;Burmistrz;Marian;Dzięcioł;sekretariat@gminalochow.pl;sekretariat@gminalochow.pl;www.gminalochow.pl
199;Radzymin;mazowieckie;wołomiński;GMW;Urząd Miasta i Gminy Radzymin; Radzymin;05-250; Radzymin;plac Kościuszki;2;(22);786-62-92;121;(22);786-51-95;Burmistrz;Zbigniew;Piotrowski;hgrzelak@radzymin.pl;umig@radzymin.pl;www.radzymin.pl
200;Tłuszcz;mazowieckie;wołomiński;GMW;Urząd Miejski w Tłuszczu;Tłuszcz;05-240;Tłuszcz;ul. Warszawska;10;(29);757-30-16;212;(29);7575016 wew. 228;Burmistrz;Paweł Marcin;Bednarczyk ;sekretarz@tluszcz.pl;burmistrz@tluszcz.pl;www.tluszcz.pl
201;Wołomin;mazowieckie;wołomiński;GMW;Urząd Miejski w Wołominie;Wołomin;05-200;Wołomin;ul. Ogrodowa;4;(22);763-30-65;;(22);763-30-66;Burmistrz;Ryszard;Madziar;um@um.wolomin.pl;um@um.wolomin.pl;www.um.wolomin.pl
202;Wyszków;mazowieckie;wyszkowski;GMW;Urząd Miejski Wyszków;Wyszków;07-200;Wyszków;Aleja Róż;2;(29);742-42-01;;(29);742-42-09;Burmistrz;Grzegorz;Nowosielski;teresa.gozdziewska@wyszkow.pl;gmina@wyszkow.pl;www.wyszkow.pl
203;Zwoleń;mazowieckie;zwoleński;GMW;Urząd Miejski w Zwoleniu;Zwoleń;26-700;Zwoleń;Plac Kochanowskiego;1;(48);676-22-10;;(48);676-24-18;Burmistrz;Bogusława;Jaworska;zwolen@zwolen.pl;sekretariat@zwolen.pl;www.zwolen.pl
204;Bieżuń;mazowieckie;żuromiński;GMW;Urząd Miasta i Gminy w Bieżuniu;Bieżuń;09-320;Bieżuń;ul. Warszawska;2;(23);657-84-50;;(23);657-80-39;Burmistrz;Andrzej;Szymański;umig@biezun.pl;umig@biezun.pl;www.biezun.pl
205;Żuromin;mazowieckie;żuromiński;GMW;Urząd Gminy i Miasta w Żurominie;Żuromin;09-300;Żuromin;Plac Piłsudskiego;3;(23);657-25-58;;(23);657-25-40;Burmistrz;Zbigniew Cezary;Nosek;sekretarz-zuromin@go2.pl;ugimz@go2.pl;http://www.zuromin.com/news.php
206;Mszczonów;mazowieckie;żyrardowski;GMW;Urząd Miejski; Mszczonów;96-320; Mszczonów;Plac Piłsudskiego;1;(46);858-28-40;;(46);858-28-43;Burmistrz;Józef Grzegorz;Kurek;zofia.krukowska@mszczonow.pl;urzad.miejski@mszczonow.pl;www.mszczonow.pl
Województwo podlaskie;;;;;;;;;;;;;;;;;;;;;
207;Lipsk;podlaskie;augustowski;GMW;Urząd Miejski w Lipsku;Lipsk;16-315;Lipsk;ul. Żłobikowskiego;4/2;(87);642-27-00;16;(87);642-27-04;Burmistrz;Małgorzata;Cieślak;sekretarz.lipsk@op.pl;gmina@lipsk.pl;www.lipsk.pl
208;Choroszcz;podlaskie;białostocki;GMW;Urząd Miejski w Choroszczy ;Choroszcz;16-070;Choroszcz;ul. Dominikańska ;2;(85);713-22-00;;(85);719-18-39;Burmistrz;Jerzy ;Ułanowicz;urzad@choroszcz.pl;urzad@choroszcz.pl;www.choroszcz.pl
209;Czarna Białostocka;podlaskie;białostocki;GMW;Urząd Miejski w Czarnej Białostockiej;Czarna Białostocka;16-020;Czarna Białostocka;ul. Traugutta;2;(85);713-13-40;;(85);713-13-49;Burmistrz;Tadeusz;Matejko;um@czarnabialostocka.pl;um@czarnabialostocka.pl;www.czarnabialostocka.pl
210;Łapy;podlaskie;białostocki;GMW;Urząd Miejski w Łapach;Łapy;18-100;Łapy;ul. Gen. Wł. Sikorskiego;24;(85);715-22-51;105 kom. 668484427;(85);715-22-56;Burmistrz;Wiktor;Brzosko;sekretarz@lapy.podlasie.pl;sekretariat@lapy.podlasie.pl;www.lapy.podlasie.pl
211;Michałowo;podlaskie;białostocki;GMW;Urząd Miejski w Michałowie;Michałowo;16-050;Michałowo;ul. Białostocka;11;(85);713-17-73;;(85);713-17-77;Burmistrz;Marek ;Nazarko ;ugmich@michalowo.ug.gov.pl;ugmich@michalowo.ug.gov.pl;www.michalowo.ug.gov.pl
212;Supraśl;podlaskie;białostocki;GMW;Urząd Miejski w Supraślu;Supraśl;16-030;Supraśl;ul. Piłsudskiego;58;(85);713-27-02;;(85);713-27-00;Burmistrz;Radosław;Dobrowolski;um@suprasl.pl;um@suprasl.pl;www.suprasl.pl
213;Suraż;podlaskie;białostocki;GMW;Urząd Miejski w Surażu;Suraż;18-105;Suraż;ul. 11-go Listopada;16;(85);650-35-98;kom. 606375026;(85);650-31-84;Burmistrz;Sławomir;Halicki;umsuraz@zetobi.com.pl;umsuraz@zetobi.com.pl;www.suraz.pl
214;Tykocin;podlaskie;białostocki;GMW;Urząd Miejski w Tykocinie;Tykocin;16-080;Tykocin;ul. Złota;2;(85);718-16-27;;(85);718-75-07;Burmistrz;Krzysztof ;Chlebowicz;burmistrz.tykocin.bia@gminypolskie.pl;burmistrz.tykocin.bia@gminypolskie.pl;http://www.um.tykocin.wrotapodlasia.pl/pl/
215;Wasilków;podlaskie;białostocki;GMW;Urząd Miejski w Wasilkowie; Wasilków;16-010 ;Wasilków;ul. Białostocka;7;(85);718-52-53;;(85);718-57-00;Burmistrz;Antoni  ;Pełkowski;sekretarz@wasilkow.pl;burmistrz@wasilkow.pl;www.wasilkow.pl
216;Zabłudów;podlaskie;białostocki;GMW;Urząd Miejski w Zabłudowie;Zabłudów;16-060;Zabłudów;Rynek;8;(85);718-81-00;;(85);7188100 wew. 44;Burmistrz;Jacek Waldemar ;Lulewicz;um@zabludow.pl ;um@zabludow.pl ;www.zabludow.pl 
217;Mońki;podlaskie;moniecki;GMW;Urząd Miejski w Mońkach;Mońki;19-100;Mońki;ul. Słowackiego;5A;(85);716-25-87;;(85);716-25-87;Burmistrz;Zbigniew;Karwowski;monki@um.pl;monki@um.pl;www.monki.um.pl
218;Rajgród;podlaskie;grajewski;GMW;Urząd Miejski w Rajgrodzie;Rajgród;19-206;Rajgród;ul. Warszawska;32;(86);272-19-42;;(86);272-19-41;Burmistrz;Czesław;Karpiński;sekretarz@um.rajgrod.wrotapodlasia.pl;20000018@pro.onet.pl;http://www.um.rajgrod.pl/
219;Szczuczyn;podlaskie;grajewski;GMW;Urząd Miejski w Szczuczynie;Szczuczyn;19-230;Szczuczyn;Plac Tysiąclecia;23;(86);273-50-80;;(86);273-50-81;Burmistrz;Artur;Kuczyński;um@szczuczyn.pl;um@szczuczyn.pl;www.szczuczyn.pl
220;Kleszczele;podlaskie;hajnowski;GMW;Urząd Miejski; Kleszczele;17-250; Kleszczele;ul. 1 Maja;4;(85);681-80-04;16;(85);681-80-04;Burmistrz;Irena;Niegerewicz;kleszczeleum@fr.pl;kleszczeleum@fr.pl;www.kleszczele.pl
221;Stawiski;podlaskie;kolneński;GMW;Urząd Miejski;Stawiski;18-520;Stawiski;pl. Wolności;13/15;(86);278-55-11;;(86);278-55-33;Burmistrz;Marek;Waszkiewicz;umstawiski@stawiski.pl;umstawiski@stawiski.pl;www.stawiski.pl
222;Jedwabne;podlaskie;łomżyński;GMW;Urząd Miejski w Jedwabnem;Jedwabne;18-420;Jedwabne;ul. Żwirki i Wigury;3;(86);217-20-25;;(86);217-20-40;Burmistrz;Krzysztof Ryszard;Moenke;urzad@jedwabne.pl;urzad@jedwabne.pl;www.jedwabne.pl
223;Nowogród;podlaskie;łomżyński;GMW;Urząd Miejski w Nowogrodzie;Nowogród;18-414;Nowogród;ul. Łomżyńska;41;(86);217-55-28;;(86);217-55-20;Burmistrz;Józef;Piątek;umnowogrod@wp.pl;umnowogrod@wp.pl;www.nowogrod.com
224;Goniądz;podlaskie;moniecki;GMW;Urząd Miejski;Goniądz;19-226;Goniądz;Plac 11 Listopada;38;(85);738-00-43;;(85);738-06-07;Burmistrz;Tadeusz;Kulikowski;urzadgoniadz@bialystok.home.pl;urzadgoniadz@bialystok.home.pl;www.goniadz.pl
225;Knyszyn;podlaskie;moniecki;GMW;Urząd Miejski;Knyszyn;16-015;Knyszyn;ul. Rynek;39;(85);727-99-79;;(85);727-99-70;Burmistrz;Andrzej;Matyszewski;sekretarz@knyszyn.pl;um@knyszyn.pl;www.knyszyn.pl
226;Drohiczyn;podlaskie;siemiatycki;GMW;Urząd Miejski w Drohiczynie;Drohiczyn;17-312;Drohiczyn;ul. Kraszewskiego;5;(85);656-52-60;;(85);655-70-80;Burmistrz;Wojciech;Borzym;um@drohiczyn.pl;um@drohiczyn.pl;www.drohiczyn.pl
227;Dąbrowa Białostocka;podlaskie;sokólski;GMW;Urząd Miejski;Dąbrowa Białostocka;16-200;Dąbrowa Białostocka;ul. Solidarności;1;(85);712-11-00;;(85);712-10-17;Burmistrz;Tadeusz;Ciszkowski;dabrowab@beep.pl;dabrowab@beep.pl;www.dabrowa-bial.pl
228;Krynki;podlaskie;sokólski;GMW;Urząd Miejski w Krynkach;Krynki;16-120;Krynki;ul. Garbarska;16;(85);722-80-61;;(85);722-85-51;Burmistrz;Bogusław Marian;Panasiuk;sekretarz@krynki.pl;kancelaria@krynki.pl;http://ug-krynki.pbip.pl/
229;Sokółka;podlaskie;sokólski;GMW;Urząd Miejski w Sokółce;Sokółka;16-100;Sokółka;Plac Kościuszki;1;(85);711-09-12;;(85);711-09-11;Burmistrz;Stanisław;Małachwiej;sekretarz@sokolka.pl;sokolka@sokolka.pl;www.sokolka.pl
230;Suchowola;podlaskie;sokólski;GMW;Urząd Miejski w Suchowoli;Suchowola;16-150;Suchowola;Plac Kościuszki;5;(85);722-94-00;;(85);722-94-19;Burmistrz;Kazimierz;Marciszel;bip@suchowola.com.pl;bip@suchowola.com.pl;www.suchowola.com.pl
231;Ciechanowiec;podlaskie;wysokomazowiecki;GMW;Urząd Miejski w Ciechanowcu;Ciechanowiec;18-230;Ciechanowiec;ul. Mickiewicza;1;(86);277-11-45;22;(86);277-10-66;Burmistrz;Mirosław;Reczko;info@ciechanowiec.pl;info@ciechanowiec.pl;www.ciechanowiec.pl
Województwo łódzkie;;;;;;;;;;;;;;;;;;;;;
232;Zelów;łódzkie;bełchatowski;GMW;Urząd Miejski w Zelowie;Zelów;97-425;Zelów;ul. Żeromskiego;28;(44);634-10-03;;(44);634-13-41;Burmistrz;Urszula ;Świerczyńska;umzelow@zelow.pl;umzelow@zelow.pl;www.zelow.pl
233;Krośniewice;łódzkie;kutnowski;GMW;Urząd Miejski w Krośniewicach;Krośniewice;99-340;Krośniewice;ul. Poznańska;5;(24);252-30-24;;(24);254-77-82;Burmistrz;Julianna Barbara;Herman;gmina@krasnowice.pl;gmina@krasnowice.pl;http://krosniewice.pl/
234;Żychlin;łódzkie;kutnowski;GMW;Urząd Gminy w Żychlinie;Żychlin;99-320;Żychlin;ul. Barlickiego;15;(24);285-10-06;;(24);285-26-83;Burmistrz;Grzegorz;Ambroziak;sekretarz@gminazychlin.pl;sekretariat@gminazychlin.pl;www.gminazychlin.pl
235;Łask;łódzkie;łaski;GMW;Urząd Miejski w Łasku;Łask;98-100;Łask;ul. Warszawska;14;(43);676-83-10;;(43);676-83-87;Burmistrz;Gabriel;Szkudlarek;b.mielczarek@lask.pl;um@lask.pl;www.lask.pl
236;Koluszki;łódzkie;łódzki wschodni;GMW;Urząd Miejski w Koluszkach;Koluszki;97-140;Koluszki;ul. 11 Listopada ;65;(44);725-67-00;;(44);714-58-40;Burmistrz;Waldemar;Chałat;um@koluszki.pl;um@koluszki.pl;www.koluszki.pl
237;Rzgów;łódzkie;łódzki wschodni;GMW;Urząd Gminy i Miasta Rzgów;Rzgów;95-030;Rzgów;Plac 500-lecia;22;(42);214-12-10;;(42);214-12-07;Burmistrz;Jan;Mielczarek;sekretariat@rzgow.pl;sekretariat@rzgow.pl;www.rzgow.pl
238;Tuszyn;łódzkie;łódzki wschodni;GMW;Urząd Miasta Tuszyn;Tuszyn;97-315;Tuszyn;ul. Piotrkowska;2/4;(42);614-30-69;;(42);614-30-69;Burmistrz;Witold;Małecki;sekretarz@tuszyn.info.pl;tuszyn@tuszyn.info.pl;www.tuszyn.info.pl
239;Drzewica;łódzkie;opoczyński;GMW;Urząd Gminy i Miasta w Drzewicy;Drzewica;26-410;Drzewica;ul. Staszica;22;(48);375-60-91;;(48);375-66-41;Burmistrz;Janusz;Reszelewski;sekretarz@drzewica.pl;ugm@drzewica.pl;www.drzewica.pl
240;Opoczno;łódzkie;opoczyński;GMW;Urząd Miejski w Opocznie;Opoczno;26-300;Opoczno;ul. Staromiejska;6;(44);736-31-00;;(44);736-31-11;Burmistrz;Jan;Wieruszewski;sekretarz@um.opoczno.pl;umopoczno@um.opoczno.pl;http://www.opoczno.pl/
241;Działoszyn;łódzkie;pajęczański;GMW;Urząd Miasta i Gminy Działoszyn;Działoszyn;98-355;Działoszyn;ul. Piłsudskiego;21;(84);841-31-77;;(84);841-36-80;Burmistrz;Rafał;Drab;gmdzialoszyn@wp.pl;gmdzialoszyn@wp.pl;www.dzialoszyn.pl
242;Pajęczno;łódzkie;pajęczański;GMW;Urząd Gminy i Miasta Pajęczno;Pajęczno;42-115;Pajęczno;ul. Parkowa;8/12;(34);311-21-23;;(34);311-21-35;Burmistrz;Dariusz;Tokarski;ugim@pajeczno.pl;ugim@pajeczno.pl;www.pajeczno.pl
243;Sulejów;łódzkie;piotrkowski;GMW;Urząd Miejski w Sulejowie;Sulejów;97-330;Sulejów;ul. Konecka;42;(44);610-25-01;;(44);616-25-51;Burmistrz;Stanisław;Baryła;sekretarz@sulejow.pl;um@sulejow.pl;www.sulejow.pl
244;Poddębice;łódzkie;poddębicki;GMW;Urząd Miejski w Poddębicach;Poddębice;99-200;Poddębice;ul. Łódzka;17/21;(43);678-25-80;;(43);678-39-55;Burmistrz;Piotr;Sęczkowski;sekretarz@gmina.poddebice.pl;gmina@gmina.poddebice.pl;www.gmina.poddebice.pl
245;Uniejów;łódzkie;poddębicki;GMW;Urząd Miasta w Uniejowie;Uniejów;62-716;Uniejów;ul. Bł. Bogumiła;13;(63);288-81-92;;(63);288-81-92;Burmistrz;Józef ;Kaczmarek;urzad@uniejow.pl;urzad@uniejow.pl;www.uniejow.pl
